amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,orig_balance_error,dest_balance_error,dest_balance_stayed_zero,orig_balance_drained,amount_to_orig_balance_ratio,is_transfer,isFraud,predicted_fraud
143332.0,143332.0,0.0,482652.15,716367.34,0.0,-90383.18999999994,0,1,0.9999930232395889,0,1,1
87622.5,87622.5,0.0,0.0,0.0,0.0,87622.5,1,1,0.9999885875364486,1,1,1
90204.54,90204.54,0.0,0.0,90204.54,0.0,0.0,0,1,0.999988914206378,0,1,1
635409.32,635409.32,0.0,1500157.41,2135566.73,0.0,0.0,0,1,0.9999984262137889,0,1,1
526119.49,526119.49,0.0,0.0,0.0,0.0,526119.49,1,1,0.9999980992947072,1,1,1
36996.83,36996.83,0.0,0.0,0.0,0.0,36996.83,1,1,0.9999729713877814,1,1,1
7316255.05,17316255.05,17316255.05,0.0,0.0,-7316255.050000001,7316255.05,1,0,0.4225079040685587,1,1,1
609400.88,609400.88,0.0,0.0,0.0,0.0,609400.88,1,1,0.9999983590467427,1,1,1
1011249.64,1011249.64,0.0,0.0,0.0,0.0,1011249.64,1,1,0.9999990111254713,1,1,1
1367070.94,1367070.94,0.0,0.0,0.0,0.0,1367070.94,1,1,0.9999992685096002,1,1,1
54994.1,54994.1,0.0,0.0,0.0,0.0,54994.1,1,1,0.9999818165618392,1,1,1
45053.05,45053.05,0.0,0.0,0.0,0.0,45053.05,1,1,0.9999778044371149,1,1,1
334890.91,334890.91,0.0,0.0,0.0,0.0,334890.91,1,1,0.9999970139619079,1,1,1
71867.47,71867.47,0.0,0.0,0.0,0.0,71867.47,1,1,0.9999860856923767,1,1,1
500905.62,500905.62,0.0,4867381.69,5368287.32,0.0,-0.009999999776482582,0,1,0.9999980036199162,0,1,1
21516.38,21516.38,0.0,0.0,0.0,0.0,21516.38,1,1,0.9999535259404259,1,1,1
171788.82,171788.82,0.0,19962.0,0.0,0.0,191750.82,0,1,0.9999941789333034,0,1,1
4731371.88,4731371.88,0.0,0.0,0.0,0.0,4731371.88,1,1,0.9999997886448553,1,1,1
1334919.42,1334919.42,0.0,2565752.24,3900671.66,0.0,0.0,0,1,0.9999992508916749,0,1,1
267564.83,267564.83,0.0,0.0,267564.83,0.0,0.0,0,1,0.9999962626019921,0,1,1
4104942.7,4104942.7,0.0,0.0,0.0,0.0,4104942.7,1,1,0.9999997563912996,1,1,1
145982.36,145982.36,0.0,0.0,0.0,0.0,145982.36,1,1,0.9999931499042083,1,1,1
115599.26,115599.26,0.0,2621088.84,2736688.1,0.0,-4.656612873077393e-10,0,1,0.999991349500425,0,1,1
