id,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,orig_balance_error,dest_balance_error,dest_balance_stayed_zero,orig_balance_drained,is_transfer,predicted_fraud,pattern_type
0,143332.0,143332.0,0.0,482652.15,716367.34,0.0,-90383.18999999994,0,1,0,1,Account Drain + Balance Mismatch
1,87622.5,87622.5,0.0,0.0,0.0,0.0,87622.5,1,1,1,1,Account Drain + Zero Destination
2,90204.54,90204.54,0.0,0.0,90204.54,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
3,635409.32,635409.32,0.0,1500157.41,2135566.73,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
4,526119.49,526119.49,0.0,0.0,0.0,0.0,526119.49,1,1,1,1,Account Drain + Zero Destination
5,36996.83,36996.83,0.0,0.0,0.0,0.0,36996.83,1,1,1,1,Account Drain + Zero Destination
6,7316255.05,17316255.05,17316255.05,0.0,0.0,-7316255.050000001,7316255.05,1,0,1,1,Account Drain + Zero Destination
7,609400.88,609400.88,0.0,0.0,0.0,0.0,609400.88,1,1,1,1,Account Drain + Zero Destination
8,1011249.64,1011249.64,0.0,0.0,0.0,0.0,1011249.64,1,1,1,1,Account Drain + Zero Destination
9,1367070.94,1367070.94,0.0,0.0,0.0,0.0,1367070.94,1,1,1,1,Account Drain + Zero Destination
10,54994.1,54994.1,0.0,0.0,0.0,0.0,54994.1,1,1,1,1,Account Drain + Zero Destination
11,45053.05,45053.05,0.0,0.0,0.0,0.0,45053.05,1,1,1,1,Account Drain + Zero Destination
12,334890.91,334890.91,0.0,0.0,0.0,0.0,334890.91,1,1,1,1,Account Drain + Zero Destination
13,71867.47,71867.47,0.0,0.0,0.0,0.0,71867.47,1,1,1,1,Account Drain + Zero Destination
14,500905.62,500905.62,0.0,4867381.69,5368287.32,0.0,-0.0099999997764825,0,1,0,1,Account Drain + Balance Mismatch
15,21516.38,21516.38,0.0,0.0,0.0,0.0,21516.38,1,1,1,1,Account Drain + Zero Destination
16,171788.82,171788.82,0.0,19962.0,0.0,0.0,191750.82,0,1,0,1,Account Drain + Balance Mismatch
17,4731371.88,4731371.88,0.0,0.0,0.0,0.0,4731371.88,1,1,1,1,Account Drain + Zero Destination
18,1334919.42,1334919.42,0.0,2565752.24,3900671.66,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
19,267564.83,267564.83,0.0,0.0,267564.83,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
20,4104942.7,4104942.7,0.0,0.0,0.0,0.0,4104942.7,1,1,1,1,Account Drain + Zero Destination
21,145982.36,145982.36,0.0,0.0,0.0,0.0,145982.36,1,1,1,1,Account Drain + Zero Destination
22,115599.26,115599.26,0.0,2621088.84,2736688.1,0.0,-4.656612873077393e-10,0,1,0,1,Account Drain + Balance Mismatch
23,66941.04,66941.04,0.0,0.0,0.0,0.0,66941.04,1,1,1,1,Account Drain + Zero Destination
24,12855.05,12855.05,0.0,2753536.73,2766391.78,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
25,235075.62,235075.62,0.0,436894.35,310170.72,0.0,361799.25,0,1,0,1,Account Drain + Balance Mismatch
26,3295227.84,3295227.84,0.0,0.0,0.0,0.0,3295227.84,1,1,1,1,Account Drain + Zero Destination
27,122032.62,122032.62,0.0,0.0,122032.62,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
28,10000000.0,10987591.59,987591.59,0.0,0.0,-1.1641532182693479e-10,10000000.0,1,0,1,1,Account Drain + Zero Destination
29,1461930.03,1461930.03,0.0,0.0,0.0,0.0,1461930.03,1,1,1,1,Account Drain + Zero Destination
30,1506795.1,1506795.1,0.0,0.0,0.0,0.0,1506795.1,1,1,1,1,Account Drain + Zero Destination
31,248962.83,248962.83,0.0,0.0,248962.83,0.0,0.0,0,1,0,1,Account Drain + Balance Mismatch
32,774868.1,774868.1,0.0,0.0,0.0,0.0,774868.1,1,1,1,1,Account Drain + Zero Destination
